NAME                                                                          VERSION                                              TYPE      
github.com/docker/cli                                                         v20.10.3-0.20220803220330-418ca3b4d46f+incompatible  go-module
github.com/docker/cli-docs-tool                                               v0.5.0                                               go-module
github.com/docker/distribution                                                v2.8.1+incompatible                                  go-module
github.com/docker/docker                                                      v20.10.3-0.20220720171342-a60b458179aa+incompatible  go-module
github.com/docker/docker-credential-helpers                                   v0.6.4                                               go-module
github.com/docker/go                                                          v1.5.1-1.0.20160303222718-d30aec9fd63c               go-module
github.com/docker/go-connections                                              v0.4.0                                               go-module
github.com/docker/go-metrics                                                  v0.0.1                                               go-module
github.com/docker/go-units                                                    v0.4.0                                               go-module
github.com/felixge/httpsnoop                                                  v1.0.2                                               go-module
github.com/fvbommel/sortorder                                                 v1.0.1                                               go-module
github.com/go-logr/logr                                                       v1.2.2                                               go-module
github.com/go-logr/stdr                                                       v1.2.2                                               go-module
github.com/gofrs/flock                                                        v0.7.3                                               go-module
github.com/gogo/googleapis                                                    v1.4.1                                               go-module
github.com/gogo/protobuf                                                      v1.3.2                                               go-module
github.com/golang-jwt/jwt/v4                                                  v4.2.0                                               go-module
github.com/golang/protobuf                                                    v1.5.2                                               go-module
github.com/google/go-cmp                                                      v0.5.8                                               go-module
github.com/google/gofuzz                                                      v1.2.0                                               go-module
github.com/google/shlex                                                       v0.0.0-20191202100458-e7afc7fbc510                   go-module
github.com/google/uuid                                                        v1.3.0                                               go-module
github.com/googleapis/gnostic                                                 v0.5.5                                               go-module
github.com/gorilla/mux                                                        v1.8.0                                               go-module
github.com/grpc-ecosystem/go-grpc-middleware                                  v1.3.0                                               go-module
github.com/grpc-ecosystem/grpc-gateway                                        v1.16.0                                              go-module
github.com/hashicorp/go-cty-funcs                                             v0.0.0-20200930094925-2721b1e36840                   go-module
github.com/hashicorp/hcl/v2                                                   v2.8.2                                               go-module
github.com/imdario/mergo                                                      v0.3.13                                              go-module
github.com/json-iterator/go                                                   v1.1.12                                              go-module
github.com/klauspost/compress                                                 v1.15.7                                              go-module
github.com/mattn/go-shellwords                                                v1.0.12                                              go-module
github.com/matttproud/golang_protobuf_extensions                              v1.0.2-0.20181231171920-c182affec369                 go-module
github.com/mitchellh/go-wordwrap                                              v0.0.0-20150314170334-ad45545899c7                   go-module
github.com/mitchellh/mapstructure                                             v1.5.0                                               go-module
github.com/moby/buildkit                                                      v0.10.1-0.20220816171719-55ba9d14360a                go-module
github.com/moby/locker                                                        v1.0.1                                               go-module
github.com/moby/spdystream                                                    v0.2.0                                               go-module
github.com/moby/sys/signal                                                    v0.6.0                                               go-module
github.com/moby/term                                                          v0.0.0-20210619224110-3f7ff695adc6                   go-module
github.com/modern-go/concurrent                                               v0.0.0-20180306012644-bacd9c7ef1dd                   go-module
github.com/modern-go/reflect2                                                 v1.0.2                                               go-module
github.com/morikuni/aec                                                       v1.0.0                                               go-module
github.com/opencontainers/go-digest                                           v1.0.0                                               go-module
github.com/opencontainers/image-spec                                          v1.0.3-0.20211202183452-c5a74bcca799                 go-module
github.com/opencontainers/runc                                                v1.1.3                                               go-module
github.com/pelletier/go-toml                                                  v1.9.4                                               go-module
github.com/pkg/errors                                                         v0.9.1                                               go-module
github.com/prometheus/client_golang                                           v1.12.2                                              go-module
github.com/prometheus/client_model                                            v0.2.0                                               go-module
github.com/prometheus/common                                                  v0.32.1                                              go-module
github.com/prometheus/procfs                                                  v0.7.3                                               go-module
github.com/serialx/hashring                                                   v0.0.0-20190422032157-8b2912629002                   go-module
github.com/sirupsen/logrus                                                    v1.9.0                                               go-module
github.com/spf13/cobra                                                        v1.5.0                                               go-module
github.com/spf13/pflag                                                        v1.0.5                                               go-module
github.com/theupdateframework/notary                                          v0.6.1                                               go-module
github.com/tonistiigi/fsutil                                                  v0.0.0-20220510150904-0dbf3a8a7d58                   go-module
github.com/tonistiigi/units                                                   v0.0.0-20180711220420-6950e57a87ea                   go-module
github.com/tonistiigi/vt100                                                   v0.0.0-20210615222946-8066bb97264f                   go-module
github.com/xeipuuv/gojsonpointer                                              v0.0.0-20180127040702-4e3ac2762d5f                   go-module
github.com/xeipuuv/gojsonreference                                            v0.0.0-20180127040603-bd5ef7bd5415                   go-module
github.com/xeipuuv/gojsonschema                                               v1.2.0                                               go-module
github.com/zclconf/go-cty                                                     v1.10.0                                              go-module
glob                                                                          7.2.3                                                npm
glob                                                                          8.0.3                                                npm
gnupg                                                                         2.2.40-1                                             deb
gnupg-l10n                                                                    2.2.40-1                                             deb
gnupg-utils                                                                   2.2.40-1                                             deb
go.opentelemetry.io/contrib/instrumentation/google.golang.org/grpc/otelgrpc   v0.29.0                                              go-module
go.opentelemetry.io/contrib/instrumentation/net/http/httptrace/otelhttptrace  v0.29.0                                              go-module
go.opentelemetry.io/contrib/instrumentation/net/http/otelhttp                 v0.29.0                                              go-module
go.opentelemetry.io/otel                                                      v1.4.1                                               go-module
go.opentelemetry.io/otel/exporters/otlp/internal/retry                        v1.4.1                                               go-module
go.opentelemetry.io/otel/exporters/otlp/otlptrace                             v1.4.1                                               go-module
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracegrpc               v1.4.1                                               go-module
go.opentelemetry.io/otel/exporters/otlp/otlptrace/otlptracehttp               v1.4.1                                               go-module
go.opentelemetry.io/otel/internal/metric                                      v0.27.0                                              go-module
go.opentelemetry.io/otel/metric                                               v0.27.0                                              go-module
go.opentelemetry.io/otel/sdk                                                  v1.4.1                                               go-module
go.opentelemetry.io/otel/trace                                                v1.4.1                                               go-module
go.opentelemetry.io/proto/otlp                                                v0.12.0                                              go-module
golang.org/x/crypto                                                           v0.0.0-20220315160706-3147a52a75dd                   go-module
golang.org/x/net                                                              v0.0.0-20220127200216-cd36cc0744dd                   go-module
golang.org/x/oauth2                                                           v0.0.0-20210819190943-2bc19b11175f                   go-module
golang.org/x/sync                                                             v0.0.0-20220722155255-886fb9371eb4                   go-module
golang.org/x/sys                                                              v0.0.0-20220715151400-c0bba94af5f8                   go-module
golang.org/x/term                                                             v0.0.0-20210927222741-03fcf44c2211                   go-module
golang.org/x/text                                                             v0.3.7                                               go-module
golang.org/x/time                                                             v0.0.0-20220210224613-90d013bbcef8                   go-module
google.golang.org/genproto                                                    v0.0.0-20220310185008-1973136f34c6                   go-module
google.golang.org/grpc                                                        v1.47.0                                              go-module
google.golang.org/protobuf                                                    v1.27.1                                              go-module
gopkg.in/inf.v0                                                               v0.9.1                                               go-module
gopkg.in/yaml.v2                                                              v2.4.0                                               go-module
gopkg.in/yaml.v3                                                              v3.0.1                                               go-module
gpg                                                                           2.2.40-1                                             deb
gpg-agent                                                                     2.2.40-1                                             deb
